"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2025","25.66","26.90","26.95","25.66","618.83K","-2.47%"
"04/25/2025","26.31","26.05","27.24","25.75","911.68K","-0.30%"
"04/24/2025","26.39","26.98","27.44","26.05","1.28M","-4.83%"
"04/23/2025","27.73","27.99","28.30","27.60","1.21M","-0.54%"
"04/22/2025","27.88","28.49","28.50","27.80","1.21M","-1.59%"
"04/21/2025","28.33","28.64","29.25","28.15","1.92M","0.00%"
"04/18/2025","28.33","28.11","29.18","27.60","4.21M","1.36%"
"04/17/2025","27.95","28.95","29.20","27.81","4.06M","-3.15%"
"04/16/2025","28.86","28.99","30.35","28.32","10.53M","2.34%"
"04/15/2025","28.20","29.70","30.10","28.00","3.21M","-4.18%"
"04/14/2025","29.43","27.13","29.58","27.00","13.50M","9.04%"
"04/11/2025","26.99","25.00","27.90","25.00","12.37M","5.80%"
"04/10/2025","25.51","24.50","25.64","24.10","5.78M","9.06%"
"04/09/2025","23.39","22.90","23.70","21.70","3.90M","1.87%"
"04/08/2025","22.96","23.43","23.90","22.72","1.64M","-0.65%"
"04/07/2025","23.11","24.24","24.42","22.72","3.33M","-8.44%"
"04/04/2025","25.24","25.48","25.48","25.00","1.16M","-0.39%"
"04/03/2025","25.34","25.15","25.69","24.50","1.94M","0.56%"
"03/27/2025","25.20","25.62","25.62","25.01","310.46K","-1.41%"
"03/26/2025","25.56","25.50","26.00","25.21","827.40K","0.99%"
"03/25/2025","25.31","25.50","25.78","24.75","863.26K","0.20%"
"03/24/2025","25.26","26.30","26.31","25.19","1.47M","-3.48%"
"03/21/2025","26.17","25.65","27.25","25.50","3.91M","3.11%"
"03/20/2025","25.38","25.41","25.80","25.30","962.08K","0.24%"
"03/19/2025","25.32","25.50","25.63","24.99","1.32M","-0.71%"
"03/18/2025","25.50","25.26","25.58","25.26","486.68K","0.91%"
"03/17/2025","25.27","25.35","25.50","25.10","838.11K","0.92%"
"03/14/2025","25.04","25.09","25.49","25.00","539.15K","0.08%"
"03/13/2025","25.02","24.84","25.45","24.84","822.77K","0.72%"
"03/12/2025","24.84","25.11","25.20","24.80","239.89K","-1.35%"
"03/11/2025","25.18","25.35","25.50","24.91","444.42K","-1.10%"
"03/10/2025","25.46","25.76","26.00","25.12","283.54K","-1.16%"
"03/07/2025","25.76","25.98","26.00","25.21","294.30K","-0.54%"
"03/06/2025","25.90","25.10","26.05","25.00","1.34M","3.72%"
"03/05/2025","24.97","24.56","25.44","24.56","665.98K","1.67%"
"03/04/2025","24.56","24.75","24.80","24.50","195.46K","0.12%"
"03/03/2025","24.53","25.20","25.20","24.32","381.31K","-1.92%"
"02/28/2025","25.01","25.65","25.80","24.10","1.15M","-2.80%"
"02/27/2025","25.73","25.90","26.24","25.55","415.33K","0.63%"
"02/26/2025","25.57","26.10","26.15","25.50","558.13K","-1.24%"
"02/25/2025","25.89","26.49","26.85","25.78","1.02M","-1.78%"
"02/24/2025","26.36","27.05","27.40","26.11","2.02M","-2.44%"
"02/21/2025","27.02","27.98","28.89","26.91","4.59M","-2.31%"
"02/20/2025","27.66","26.39","28.49","25.83","4.88M","6.75%"
"02/19/2025","25.91","25.60","26.20","25.40","771.91K","1.25%"
"02/18/2025","25.59","25.31","25.90","25.31","314.63K","0.27%"
"02/17/2025","25.52","25.80","25.90","25.35","537.87K","-0.35%"
"02/14/2025","25.61","26.04","26.34","25.50","935.88K","-1.65%"
"02/13/2025","26.04","26.25","26.97","25.80","1.11M","-0.53%"
"02/12/2025","26.18","26.45","26.50","26.00","984.66K","-0.23%"
"02/11/2025","26.24","25.89","26.39","25.66","1.35M","2.26%"
"02/10/2025","25.66","25.35","25.79","25.28","1.35M","1.46%"
"02/07/2025","25.29","26.20","26.20","24.80","875.55K","-1.63%"
"02/06/2025","25.71","26.70","26.70","25.23","1.27M","-2.17%"
"02/04/2025","26.28","26.80","27.23","26.20","1.07M","0.31%"
"02/03/2025","26.20","27.50","27.50","25.90","2.36M","-3.36%"
"01/31/2025","27.11","27.10","28.00","27.00","1.45M","0.48%"
"01/30/2025","26.98","27.34","27.45","26.70","788.34K","-0.04%"
"01/29/2025","26.99","27.90","27.99","26.90","1.41M","-2.07%"
"01/28/2025","27.56","27.80","28.00","27.09","722.23K","-0.72%"
"01/27/2025","27.76","28.99","28.99","27.65","1.31M","-2.90%"
"01/24/2025","28.59","28.50","29.39","28.45","2.45M","0.81%"
"01/23/2025","28.36","28.49","28.88","28.15","2.56M","1.11%"
"01/22/2025","28.05","28.50","28.99","27.85","2.75M","-0.74%"
"01/21/2025","28.26","30.28","30.28","27.80","3.71M","-5.64%"
"01/20/2025","29.95","29.70","30.80","29.05","5.37M","2.39%"
"01/17/2025","29.25","28.60","30.50","28.25","2.77M","0.90%"
"01/16/2025","28.99","29.70","29.95","28.70","1.64M","-2.52%"
"01/15/2025","29.74","30.43","31.04","29.60","3.41M","-2.27%"
"01/14/2025","30.43","28.50","31.22","28.40","16.14M","7.22%"
"01/13/2025","28.38","28.15","28.67","28.00","1.73M","0.60%"
"01/10/2025","28.21","28.50","29.20","28.01","2.69M","-1.95%"
"01/09/2025","28.77","28.90","29.71","27.50","8.86M","-0.24%"
"01/08/2025","28.84","32.01","33.49","28.58","13.91M","-9.17%"
"01/07/2025","31.75","30.55","32.00","29.85","27.14M","-4.28%"
"01/06/2025","33.17","36.86","37.40","33.17","6.73M","-9.25%"
"01/03/2025","36.55","34.50","36.94","34.28","21.89M","8.84%"
"01/02/2025","33.58","31.00","33.58","30.75","21.15M","9.99%"
"01/01/2025","30.53","28.90","30.53","28.60","15.61M","10.02%"
"12/31/2024","27.75","27.75","27.75","27.75","1.42M","9.99%"
"12/30/2024","25.23","22.80","25.23","22.80","6.99M","10.66%"
"12/27/2024","22.80","22.70","23.26","22.55","1.01M","-0.87%"
"12/26/2024","23.00","22.60","23.10","22.07","857.88K","2.22%"
"12/24/2024","22.50","23.45","23.45","22.50","2.27M","-2.17%"
"12/23/2024","23.00","22.97","23.50","22.97","1.42M","0.00%"
"12/20/2024","23.00","22.30","23.11","21.75","2.49M","2.22%"
"12/19/2024","22.50","22.51","23.10","22.30","2.40M","-0.13%"
"12/18/2024","22.53","22.85","23.57","22.50","5.50M","1.90%"
"12/17/2024","22.11","22.50","22.75","21.75","1.84M","-1.60%"
"12/16/2024","22.47","23.33","23.50","22.00","1.89M","-5.19%"
"12/13/2024","23.70","23.30","23.80","22.10","1.12M","1.94%"
"12/12/2024","23.25","23.25","24.25","22.91","5.25M","1.09%"
"12/11/2024","23.00","22.00","23.24","21.75","3.41M","5.26%"
"12/10/2024","21.85","21.75","22.50","21.00","6.47M","1.06%"
"12/09/2024","21.62","21.49","21.62","20.25","1.35M","1.74%"
"12/06/2024","21.25","21.75","21.75","20.91","2.21M","0.00%"
"12/05/2024","21.25","21.25","21.65","20.90","2.28M","1.19%"
"12/04/2024","21.00","21.00","21.54","20.80","3.09M","0.00%"
"12/03/2024","21.00","19.90","21.41","19.81","7.92M","7.14%"
"12/02/2024","19.60","18.70","19.98","18.61","7.12M","5.38%"
"11/29/2024","18.60","17.90","18.98","17.90","4.09M","3.91%"
"11/28/2024","17.90","17.75","18.15","17.45","2.52M","2.29%"
"11/27/2024","17.50","17.00","17.60","16.76","1.35M","5.55%"
"11/26/2024","16.58","18.00","18.00","16.11","2.61M","-6.64%"
"11/25/2024","17.76","17.81","18.25","17.60","750.04K","-1.28%"
"11/22/2024","17.99","18.16","18.65","17.85","4.38M","-1.42%"
"11/21/2024","18.25","18.34","18.45","17.91","849.87K","-0.92%"
"11/20/2024","18.42","18.60","18.90","18.21","1.02M","-1.76%"
"11/19/2024","18.75","19.29","19.30","18.60","6.45M","-0.53%"
"11/18/2024","18.85","17.75","19.16","17.75","15.56M","8.33%"
"11/15/2024","17.40","17.40","17.60","16.90","896.83K","2.17%"
"11/14/2024","17.03","16.70","17.60","16.55","1.01M","1.07%"
"11/13/2024","16.85","16.95","16.95","16.50","239.44K","0.18%"
"11/12/2024","16.82","17.00","17.20","16.70","179.95K","-1.35%"
"11/11/2024","17.05","17.46","17.46","16.97","364.92K","-0.93%"
"11/08/2024","17.21","17.14","17.49","17.01","208.00K","0.64%"
"11/07/2024","17.10","17.24","17.60","17.00","289.42K","-1.10%"
"11/06/2024","17.29","17.24","17.50","16.60","833.84K","1.71%"
"11/05/2024","17.00","17.40","17.47","16.50","384.38K","-0.29%"
"11/04/2024","17.05","17.25","17.40","16.92","2.15M","0.29%"
"11/01/2024","17.00","16.30","17.00","15.81","3.28M","5.00%"
"10/31/2024","16.19","16.84","16.84","16.01","431.79K","-2.70%"
"10/30/2024","16.64","17.49","17.49","16.40","392.40K","-2.12%"
"10/29/2024","17.00","17.45","17.45","16.50","1.59M","-1.56%"
"10/28/2024","17.27","17.85","18.09","17.21","1.06M","-3.57%"
"10/25/2024","17.91","18.11","18.15","17.87","1.12M","-0.33%"
